key,Accuracy,Precision,Recall,F1,Kappa,Average Validation Kappa
All BDI variables,0.631578947368421,0.4,0.3333333333333333,0.3636363636363636,0.10738255033557051,0.18944190065748703
All RNA variables,0.6842105263157895,0.5,0.16666666666666666,0.25,0.10937499999999992,0.3905939160182017
Top 3 BDI variables,0.7368421052631579,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.41717791411042937,0.42719027375558516
BDI and RNA variables w/ all normalization,0.8947368421052632,0.75,1,0.8571428571428571,0.7764705882352941,0.8486502231663825
Top 5 RNA variables,0.8947368421052632,0.75,1,0.8571428571428571,0.7764705882352941,0.8300651293786304
BDI and RNA variables w/ RNA normalization,1,1,1,1,1,0.9615560640732265
BDI and RNA variables w/o normalization,1,1,1,1,1,0.9922346850733391
BDI scaled and RNA variable w/ RNA normalization,1,1,1,1,1,0.934096109839817
