key,value
ENSCAFG00000004237,0.9780159946769429
ENSCAFG00000029984,0.9611644037128284
ENSCAFG00000005330,0.9591244659936531
ENSCAFG00000016518,0.9543005054727492
ENSCAFG00000023923,0.9114713720125274
ENSCAFG00000001316,0.892460009427851
ENSCAFG00000028669,0.8867328795697311
ENSCAFG00000016072,0.8859437511996855
ENSCAFG00000011158,0.8841398045527631
ENSCAFG00000019071,0.8401628506123783
ENSCAFG00000001672,0.83296645253682
ENSCAFG00000028656,0.8318841442604799
ENSCAFG00000005023,0.748776979998367
ENSCAFG00000030137,0.6874067075971465
ENSCAFG00000029479,0.6535376765039437
ENSCAFG00000010274,0.6483988663598876
ENSCAFG00000006735,0.6426847738369218
ENSCAFG00000000408,0.6334803877886042
ENSCAFG00000023928,0.6331202459479498
ENSCAFG00000031355,0.6321354953811757
ENSCAFG00000018470,0.6282681328907102
ENSCAFG00000003665,0.6266139801178902
ENSCAFG00000025287,0.6251356818324119
ENSCAFG00000001835,0.6189809963874476
ENSCAFG00000031742,0.6143197818911313
ENSCAFG00000000257,0.6120582864569568
ENSCAFG00000013940,0.6110587622792448
ENSCAFG00000003331,0.5982750662985321
ENSCAFG00000025299,0.5969551732320277
ENSCAFG00000006240,0.5937678324841548
ENSCAFG00000012762,0.5926972981687681
ENSCAFG00000011225,0.5857099929588142
ENSCAFG00000025443,0.575632463849395
ENSCAFG00000001635,0.5721271768214623
ENSCAFG00000015883,0.5714819678483648
ENSCAFG00000008523,0.5712637553544334
ENSCAFG00000009569,0.5705679079801697
ENSCAFG00000005056,0.5689221051306672
ENSCAFG00000011168,0.5657505079128443
ENSCAFG00000007621,0.5551660186044708
ENSCAFG00000014860,0.5523895678405866
ENSCAFG00000005835,0.5492798964048391
ENSCAFG00000002835,0.5267988714961819
ENSCAFG00000004855,0.5232874543578322
ENSCAFG00000017656,0.5210200729246516
